Date,ACIW,ACLS,ADBE,ADI,ADP,ADSK,AGYS,AMD,ASGN,AZPN,BBSI,BHE,BLKB,CA,CACI,CAMP,CDNS,CEVA,CHKP,CMTL,CPSI,CRM,CRUS,CSGS,CTSH,CVG,CW,DDD,DIOD,DMRC,DOV,DOX,EA,ETN,FORM,GHM,HHS,HSII,HSTM,INTC,IPG,ITW,IVAC,JBL,JKHY,JNPR,KAI,KELYA,KFRC,KFY,LECO,LPSN,LRCX,MAN,MCHP,MDRX,MGRC,MIND,MPWR,MRVL
3/27/2019,32.75999832,19.84000015,262.3399963,104.9599991,156.7899933,153.1000061,20.67000008,24.88999939,62.02999878,102.6800003,76.04000092,26.07999992,77.73000336,,181.4400024,288.6499939,61.83000183,26.18000031,124.5400009,21.5,29.42000008,155.1199951,41.77999878,41.79999924,71.02999878,47.12301636,112.5,10.64000034,34.61000061,31.82999992,92.25,53.97000122,100.6699982,79.37000275,15.56999969,19.57999992,3.680000067,38.45000076,27.90999985,53.15999985,21.02000046,142.6300049,6.119999886,26.42000008,137.6100006,25.94000053,87.23999786,21.98999977,34.61000061,44.47999954,83.12999725,28.77000046,177.6399994,79.88999939,40.68500137,9.699999809,57.54999924,392,135.4100037,19.81999969
3/28/2019,32.36999893,19.86000061,263.5299988,104.0699997,158.3699951,153.0299988,20.75,25.05999947,62.58000183,103.8199997,76.69999695,26.13999939,78.81999969,,182.5500031,288.1900024,62.65000153,26.65999985,124.8300018,22.69000053,29.55999947,155.1799927,41.61999893,42.04000092,71.58000183,47.37103271,113.1200027,10.65999985,34.99000168,32.36999893,93.51000214,54.13999939,102.1999969,79.86000061,15.64000034,19.46999931,3.549999952,39.22000122,28.14999962,53.11000061,20.93000031,142.8500061,6.130000114,26.47999954,138.1699982,25.97999954,87.81999969,22.28000069,34.88000107,44.81000137,83.44999695,28.73999977,175.6799927,81.83999634,40.57500076,9.649999619,57.45999908,394,134.2899933,19.42000008
3/29/2019,32.86999893,20.12000084,266.4899902,105.2699966,159.7400055,155.8200073,21.17000008,25.52000046,63.49000168,104.2600021,77.33000183,26.25,79.73000336,,182.0200043,289.3399963,63.50999832,26.95999908,126.4899979,23.21999931,29.69000053,158.3699951,42.06999969,42.29999924,72.44999695,47.37103271,113.3399963,10.76000023,34.70000076,31.37999916,93.80000305,54.11000061,101.6299973,80.55999756,16.09000015,19.62999916,3.569999933,38.33000183,28.05999947,53.70000076,21.01000023,143.5299988,6.130000114,26.59000015,138.7400055,26.46999931,87.95999908,22.05999947,35.11999893,44.77999878,83.87000275,29.02000046,179.0099945,82.69000244,41.47999954,9.539999962,56.56999969,393,135.4900055,19.88999939
4/1/2019,33.20999908,20.34000015,272.1700134,108.2799988,162.0700073,163.8200073,20.89999962,26.36000061,64.40000153,106.4000015,78.56999969,26.95000076,81.97000122,,185.8999939,295.0899963,64.80000305,27.29000092,126.8000031,23.60000038,29.54000092,161.1799927,40.52999878,43.47999954,73.84999847,47.37103271,112.5400009,10.94999981,36.16999817,32.88000107,95.95999908,54.40999985,102.6699982,82.23999786,16.92000008,20.15999985,3.710000038,39.68999863,28.32999992,54.50999832,21.17000008,148.3399963,6.199999809,28.20999908,140.3399963,27.20000076,88.37000275,22.56999969,35.70999908,45.90999985,86.04000092,29.13999939,184.6999969,84.75,43.72999954,9.510000229,57.84999847,384,140.3399963,20.25
4/2/2019,33.43000031,20.17000008,271.3500061,108.1100006,161.4400024,164.3500061,20.54000092,26.75,64.08999634,105.9899979,77,26.89999962,82.98999786,,181.6999969,295.5499878,64.61000061,27.40999985,127.9899979,23.38999939,29.56999969,160.5099945,40.95000076,43.58000183,73.56999969,47.61904907,112,10.92000008,36.70000076,34,95.87000275,54.34000015,100.8399963,82.63999939,16.97999954,19.96999931,3.579999924,39.50999832,28.20000076,54.36000061,21,148.7400055,6.269999981,28.30999947,141.7799988,27.12999916,88.5,22.20999908,35.91999817,45.70999908,86.77999878,29.87000084,184.2599945,83.48999786,43.86000061,9.5,57.36000061,376,138.4400024,20.18000031
4/3/2019,33.81000137,20.62999916,271.5,109.8399963,161.1000061,166.6499939,20.19000053,29.02000046,64.83000183,106.2600021,76.43000031,27.32999992,82.56999969,,182.6499939,297.8500061,65.16999817,27.79000092,127.8000031,23.11000061,29.79999924,162.6199951,42.63999939,43.66999817,74.18000031,47.61904907,110.0299988,11.22000027,37.49000168,31.44000053,96.01000214,54.86000061,100.1500015,82.87000275,17.48999977,20.30999947,3.569999933,40.65000153,28.20999908,55.47999954,21.06999969,150.1199951,6.260000229,28.60000038,142.5899963,27.23999977,88.81999969,22.63999939,36.08000183,46.5,88,29.48999977,191.5399933,85.41000366,45.15000153,9.460000038,57.25,379,144.7799988,20.62999916
4/4/2019,33.75999832,20.79999924,267.8900146,110.5400009,159.3399963,165.0500031,19.63999939,29.09000015,65.45999908,104.5899963,75.90000153,27.76000023,82.62999725,,182.6399994,297.1600037,63.66999817,27.86000061,124.2200012,23.09000015,29.79999924,158.5200043,42.79999924,43.99000168,73.79000092,47.61904907,112.4800034,11.10000038,38.13999939,31.34000015,96.87999725,54.45999908,97.94000244,83.18000031,17.46999931,20.05999947,3.700000048,41.22000122,28.22999954,55.91999817,21.23999977,151.7599945,6.260000229,28.90999985,141.75,26.92000008,90.80999756,22.48999977,36.09999847,46.75,88.66000366,28.69000053,191.0299988,85.27999878,45.63499832,9.590000153,57.45000076,394,143.7400055,20.96999931
4/5/2019,33.95999908,20.95999908,267.4500122,111.4599991,160.3399963,166.3300018,19.77000046,28.97999954,66.48999786,104.8399963,77.55000305,28.30999947,82.13999939,,184.3899994,302.4500122,64.19999695,27.88999939,123.9700012,23.18000031,29.79999924,158.5599976,43.20999908,44.36000061,74.19999695,47.86706161,112.8799973,11.10999966,38.36000061,31.44000053,96.54000092,55.20999908,99.43000031,83.25,17.79999924,19.93000031,3.680000067,41.72000122,28.38999939,55.59999847,21.53000069,152.1999969,6.239999771,29.15999985,141.9499969,27.03000069,91.56999969,22.46999931,36.75999832,47.15000153,89.61000061,28.51000023,195.1499939,85.66999817,46.45999908,9.670000076,58,390,144.6199951,21.29999924
4/8/2019,34.13999939,20.98999977,268.8099976,111.7399979,160.4600067,166.7400055,19.77000046,28.53000069,66.94999695,104.9000015,76.54000092,28.54999924,80.58999634,,184.2200012,302.6799927,63.97999954,28.87000084,124.5599976,23.54999924,29.75,158.4700012,43.40999985,44.02000046,74.41000366,47.86706161,113.2099991,11.02999973,38.65999985,30.39999962,96.68000031,55.06000137,97.94999695,83.68000031,18,20.12999916,3.75,41.25,28.23999977,55.68000031,21.52000046,153.9100037,6.059999943,29.47999954,141.3699951,27.34000015,90.47000122,22.40999985,36.79999924,47.06000137,89.69999695,28.44000053,193.5800018,85.81999969,47.02999878,9.600000381,58.88000107,392,145.8300018,21.44000053
4/9/2019,33.97999954,20.75,268.9899902,110.4899979,159.6799927,167.0599976,19.40999985,27.23999977,65.34999847,106.0999985,74.33000183,28.30999947,81.11000061,,181.3800049,295.5499878,64.30999756,27.89999962,124.3600006,23.23999977,30.03000069,156.9700012,43.22000122,43.45999908,74.37000275,47.86706161,110.6699982,10.90999985,37.97000122,29.95999908,94.87999725,54.63999939,98.25,82.34999847,17.95999908,19.54000092,3.700000048,41.38999939,28.26000023,55.31999969,21.55999947,150.9900055,6.059999943,29.12000084,141.1999969,27.19000053,89.87000275,22.04000092,35.99000168,46.13999939,89.19000244,28.69000053,190.4600067,83.51999664,46.45000076,9.720000267,58.84999847,390,146.0599976,21.70999908
4/10/2019,34.31999969,20.92000008,271.5799866,112.0699997,160.4199982,170.4600067,19.82999992,27.82999992,66.04000092,108.0800018,76.06999969,28.77000046,82.26000214,,183.6000061,300.1499939,64.47000122,28.5,125.5500031,23.53000069,30.62999916,160.2400055,43.99000168,44.11999893,74.59999847,47.86706161,110.1600037,10.90999985,38.52999878,30.5,95.18000031,54.41999817,99.62999725,82.41999817,18.35000038,19.80999947,3.559999943,41.97000122,28.90999985,55.75,21.61000061,151.6900024,6,29.62999916,142.0599976,27.48999977,91.05000305,22.67000008,36.56999969,47.09000015,88.76999664,29.35000038,190.8399963,83.97000122,47.125,9.930000305,59.36999893,392,148.8500061,22.34000015
