date,ticker,marketcap
2024-03-08,AM,6404.5
2024-03-07,AM,6447.7
2024-03-06,AM,6514.8
2024-03-05,AM,6514.8
2024-03-04,AM,6490.9
2024-03-01,AM,6481.3
2024-02-29,AM,6428.5
2024-02-28,AM,6356.5
2024-02-27,AM,6318.1
2024-02-26,AM,6346.9
2024-02-23,AM,6294.2
2024-02-22,AM,6260.6
2024-02-21,AM,6203.0
2024-02-20,AM,5982.3
2024-02-16,AM,5953.5
2024-02-15,AM,5948.8
2024-02-14,AM,5612.9
2024-02-13,AM,5603.0
2024-02-12,AM,5742.2
2024-02-09,AM,5684.6
2024-02-08,AM,5718.2
2024-02-07,AM,5751.8
2024-02-06,AM,5742.2
2024-02-05,AM,5799.7
2024-02-02,AM,5871.7
2024-02-01,AM,5881.3
2024-01-31,AM,5871.7
2024-01-30,AM,5938.8
2024-01-29,AM,5943.6
2024-01-26,AM,5881.3
2024-01-25,AM,5862.1
2024-01-24,AM,5823.7
2024-01-23,AM,5756.6
2024-01-22,AM,5934.0
2024-01-19,AM,5828.5
2024-01-18,AM,5852.5
2024-01-17,AM,5857.3
2024-01-16,AM,5895.7
2024-01-12,AM,5881.3
2024-01-11,AM,5852.5
2024-01-10,AM,5895.7
2024-01-09,AM,5876.5
2024-01-08,AM,5910.1
2024-01-05,AM,5972.4
2024-01-04,AM,5914.9
2024-01-03,AM,6020.4
2024-01-02,AM,6054.0
2023-12-29,AM,6010.8
2023-12-28,AM,6044.4
2023-12-27,AM,6054.0
2023-12-26,AM,6087.6
2023-12-22,AM,6049.2
2023-12-21,AM,6006.0
2023-12-20,AM,5967.6
2023-12-19,AM,6063.6
2023-12-18,AM,6068.4
2023-12-15,AM,5953.2
2023-12-14,AM,6078.0
2023-12-13,AM,6082.8
2023-12-12,AM,6034.8
2023-12-11,AM,6130.7
2023-12-08,AM,6207.5
2023-12-07,AM,6097.2
2023-12-06,AM,6178.7
2023-12-05,AM,6284.2
2023-12-04,AM,6413.8
2023-12-01,AM,6418.6
2023-11-30,AM,6389.8
2023-11-29,AM,6298.6
2023-11-28,AM,6221.9
2023-11-27,AM,6303.4
2023-11-24,AM,6361.0
2023-11-22,AM,6284.2
2023-11-21,AM,6260.3
2023-11-20,AM,6226.7
2023-11-17,AM,6241.1
2023-11-16,AM,6130.7
2023-11-15,AM,6183.5
2023-11-14,AM,6145.1
2023-11-13,AM,6044.4
2023-11-10,AM,5996.4
2023-11-09,AM,5982.0
2023-11-08,AM,5972.4
2023-11-07,AM,6145.1
2023-11-06,AM,6173.9
2023-11-03,AM,6197.9
2023-11-02,AM,6212.3
2023-11-01,AM,6063.6
2023-10-31,AM,5919.7
2023-10-30,AM,5852.5
2023-10-27,AM,5823.7
2023-10-26,AM,5929.3
2023-10-25,AM,5833.3
2023-10-24,AM,5828.1
2023-10-23,AM,5962.4
2023-10-20,AM,5991.2
2023-10-19,AM,6000.8
2023-10-18,AM,6058.3
2023-10-17,AM,6077.5
2023-10-16,AM,6020.0
2023-10-13,AM,5981.6
2023-10-12,AM,5895.2
2023-10-11,AM,5900.0
2023-10-10,AM,5861.7
2023-10-09,AM,5828.1
2023-10-06,AM,5698.6
2023-10-05,AM,5679.4
2023-10-04,AM,5597.8
2023-10-03,AM,5597.8
2023-10-02,AM,5607.4
2023-09-29,AM,5746.5
2023-09-28,AM,5861.7
2023-09-27,AM,5760.9
2023-09-26,AM,5669.8
2023-09-25,AM,5703.4
2023-09-22,AM,5708.2
2023-09-21,AM,5559.5
2023-09-20,AM,5655.4
2023-09-19,AM,5597.8
2023-09-18,AM,5669.8
2023-09-15,AM,5631.4
2023-09-14,AM,5665.0
2023-09-13,AM,5689.0
2023-09-12,AM,5703.4
2023-09-11,AM,5554.7
2023-09-08,AM,5684.2
2023-09-07,AM,5655.4
2023-09-06,AM,5593.0
2023-09-05,AM,5765.7
2023-09-01,AM,5852.1
2023-08-31,AM,5813.7
2023-08-30,AM,5842.5
2023-08-29,AM,5890.4
2023-08-28,AM,5789.7
2023-08-25,AM,5727.4
2023-08-24,AM,5660.2
2023-08-23,AM,5722.6
2023-08-22,AM,5665.0
2023-08-21,AM,5722.6
2023-08-18,AM,5689.0
2023-08-17,AM,5665.0
2023-08-16,AM,5602.6
2023-08-15,AM,5674.6
2023-08-14,AM,5713.0
2023-08-11,AM,5756.1
