date,ticker,close,volume,market_cap
2019-03-11,AM,12.35000038,9482200.0,2300.0
2019-03-12,AM,12.53999996,4904200.0,2335.4
2019-03-13,AM,12.22999954,4831100.0,2335.4
2019-03-14,AM,13.09000015,4206800.0,2437.8
2019-03-15,AM,13.14000034,4257400.0,2447.1
2019-03-18,AM,13.64999962,3890400.0,2542.1
2019-03-19,AM,13.80000019,4080700.0,2570.1
2019-03-20,AM,13.67000008,3022000.0,2545.8
2019-03-21,AM,13.5,3320900.0,2514.2
2019-03-22,AM,13.30000019,3682900.0,2476.9
2019-03-25,AM,13.31000042,2205800.0,2478.8
2019-03-26,AM,13.25,3954100.0,2467.6
2019-03-27,AM,13.32999992,12259000.0,2482.5
2019-03-28,AM,13.47999954,2284500.0,2510.5
2019-03-29,AM,13.77999973,3432700.0,2566.3
2019-04-01,AM,14.31000042,6430000.0,2665.0
2019-04-02,AM,14.07999992,2460900.0,2622.2
2019-04-03,AM,14.06000042,1876000.0,2618.5
2019-04-04,AM,13.92000008,2359900.0,2592.4
2019-04-05,AM,14.17000008,1966600.0,2639.0
2019-04-08,AM,14.25,1634400.0,2653.9
2019-04-09,AM,13.93000031,1005400.0,2594.3
2019-04-10,AM,13.73999977,1613400.0,2558.9
2019-04-11,AM,14.02999973,3869900.0,2612.9
2019-04-12,AM,14.27000046,2351600.0,2657.6
2019-04-15,AM,14.15999985,1959300.0,2637.1
2019-04-16,AM,14.13000011,1446900.0,2631.5
2019-04-17,AM,13.77999973,2150700.0,2566.3
2019-04-18,AM,13.64999962,1392100.0,2542.1
2019-04-22,AM,13.52000046,1525600.0,2517.9
2019-04-23,AM,13.5,2745800.0,2514.2
2019-04-24,AM,13.35999966,2706500.0,2488.1
2019-04-25,AM,12.77000046,3614600.0,2378.2
2019-04-26,AM,12.65999985,2622300.0,2378.2
2019-04-29,AM,12.57999992,10106200.0,2378.2
2019-04-30,AM,12.21000004,4446900.0,2273.9
2019-05-01,AM,12.02999973,2464400.0,6097.4
2019-05-02,AM,12.28999996,8956800.0,6229.2
2019-05-03,AM,12.19999981,5805000.0,6183.5
2019-05-06,AM,12.06999969,4496200.0,6183.5
2019-05-07,AM,12.32999992,3861600.0,6249.4
2019-05-08,AM,12.26000023,3604300.0,6213.9
2019-05-09,AM,12.23999977,2703800.0,6203.8
2019-05-10,AM,12.98999977,4785600.0,6583.9
2019-05-13,AM,12.81000042,3218900.0,6492.7
2019-05-14,AM,12.97000027,2960400.0,6573.8
2019-05-15,AM,13.34000015,2149800.0,6761.3
2019-05-16,AM,13.57999992,1663000.0,6883.0
2019-05-17,AM,13.32999992,3137200.0,6756.3
2019-05-20,AM,13.31000042,2536500.0,6746.1
2019-05-21,AM,13.27000046,3969400.0,6725.9
2019-05-22,AM,13.43999958,12108900.0,6812.0
2019-05-23,AM,13.03999996,5751200.0,6609.3
2019-05-24,AM,12.90999985,2871700.0,6543.4
2019-05-28,AM,12.60999966,4656900.0,6391.3
2019-05-29,AM,12.40999985,4616200.0,6290.0
