Date,ACIW,ACLS,ADBE,ADI,ADP,ADSK,AGYS,AMD,ASGN,AZPN,BBSI,BHE,BLKB,CACI,CAMP,CDNS,CEVA,CHKP,CMTL,CPSI,CRM,CRUS,CSGS,CTSH,CVG,CW,DDD,DIOD,DMRC,DOV,DOX,EA,ETN,FORM,GHM,HHS,HSII,HSTM,INTC,IPG,ITW,IVAC,JBL,JKHY,JNPR,KAI,KELYA,KFRC,KFY,LECO,LPSN,LRCX,MAN,MCHP,MDRX,MGRC,MIND,MPWR,MRVL
2019-03-29,959900,233600,2097400,2777700,2333900,1833400,167100,53502800,241800,523300,57400,313200,261500,421600,8143,1899100,84100,722900,669200,248801.0,4913100,549400,191400,4475300,0.0,644800,1235300,327800,48100,888100,731900,3180800,2173100,630400,32600,2300,177500,346100,18736100,4350300,1294100,42600,1440900,367000,2496200,52900,145800,131800,493500,291100,537000,1583000,407300,5226400,2018400,110900,76,285900,16222400
2019-04-01,628800,229900,2970100,3445800,2489500,3886200,112700,63000300,314100,349300,68200,301000,216000,232900,8426,2283800,50900,783100,279100,143016.0,4601100,1298000,192000,3561900,0.0,575800,1449900,331300,197800,936800,637500,2879200,2124600,689800,3300,2500,173700,162000,17830400,3183800,1238900,57100,2640600,349600,4279900,76100,122100,120900,508700,447400,1216600,1798700,321300,8222800,1367300,88400,279,224400,10548700
2019-04-02,451800,195700,1877800,1684200,987800,1904100,58400,53358800,250400,444600,33900,238800,215700,206100,6122,2256300,52900,728900,160700,72232.0,3158400,544300,109700,3069100,202.0,846200,1524500,396700,96200,640900,549700,3157500,1699200,533300,29400,4000,210300,73200,13704500,3074200,1094500,39700,2200200,495600,3234300,42400,60200,77900,244600,362000,1509500,1361800,371900,8129800,1967400,67000,78,381500,10597700
2019-04-03,689300,248600,2432800,2739500,1374700,2655600,66900,197650500,405000,453100,52800,523800,281100,155300,5743,2994400,101600,925700,145600,113678.0,3819100,842600,108000,3483100,403.0,721500,1486100,453600,113900,869900,676400,3522800,2080300,340200,4500,6100,121900,120100,24552800,6416000,1174700,39300,1529300,495000,4190500,38500,97900,83500,354300,514200,1474700,3245000,596500,8496800,1651800,77600,187,419100,18321300
2019-04-04,716400,183900,2947400,2435700,1682400,2234600,49100,82191100,297300,332400,25000,405100,314000,133100,10030,3546100,62700,2127000,122500,156561.0,6295200,747800,150700,2221800,302.0,785100,1014100,410900,112100,525500,735100,4308700,1917400,177400,4700,1700,187600,46400,16520500,3113400,769900,18500,874700,398000,1981600,66900,76400,78000,155800,355700,1490600,2142700,276700,7013200,1023800,52100,569,229400,18746700
2019-04-05,588700,206900,1970500,2529000,1497800,1259100,46500,65662700,231700,335700,50500,421600,214100,159300,4935,1939100,80500,900100,123500,170478.0,4315300,492400,132800,2572800,907.0,387600,892600,275900,63800,1004400,1333800,3738000,1542900,559000,10200,1400,139000,53100,19268400,3943400,993300,13300,1502400,310500,2407400,69300,97700,68600,253700,315900,515100,2146700,290000,5748200,941600,91200,138,363100,15739600
2019-04-08,410700,145700,1796800,2237900,952100,1699100,58800,58002500,190500,286900,14300,371000,351200,114800,4648,1946000,245000,877000,141400,56744.0,2848400,504700,150200,2429000,101.0,321800,774800,196600,53000,695800,1262800,3951000,1417900,388000,4600,1000,119200,72400,11758800,2349400,1172300,28800,1023600,276100,2602900,37700,99900,53400,174400,403100,354600,1713200,377100,5548400,905600,75200,397,235500,12445200
2019-04-09,280300,257700,1605900,1856900,1238600,1214000,74700,75539800,186800,406000,47700,417900,189100,122200,7626,1497000,166200,647800,194800,189636.0,5642900,309000,170700,2036000,101.0,270300,907800,263200,65800,800500,548100,2543200,1984000,479800,6600,700,181500,107000,13339700,3333700,918800,19000,574800,264500,2641200,73200,109800,64400,199900,431800,401200,1734700,405900,4963600,2503100,113700,64,325600,14212700
2019-04-10,347200,173500,1469700,1966700,998900,1643500,63000,64368100,337800,442600,88900,364200,105300,87600,8191,1589100,80000,624700,160000,240269.0,3414700,447800,225200,1554200,0.0,300200,1005200,210100,98200,835300,478600,2199500,1407800,478200,11800,1100,104300,117400,13084000,2458400,790100,14300,1115400,318600,2372300,36600,120100,73600,187500,278100,360600,1450500,582000,4511400,1361000,51200,32,252400,23482000
2019-04-11,1161600,199200,2085600,1784900,1526000,1601300,42100,44801200,180100,389700,39800,237700,136900,108300,3826,1027300,58300,743900,150000,160884.0,2578400,391200,92300,2018600,101.0,567600,997700,176500,132900,944200,837400,2530500,1349700,225500,3200,1800,84300,54200,10845800,3379900,1024800,24400,653000,331700,1413900,40700,66500,62100,118100,340900,510400,1194200,786300,3771400,2823400,45100,18,293900,13546000
2019-04-12,513100,182000,1681100,1984200,1014300,1404500,47100,41048800,228800,611900,27400,280300,151000,135100,8248,1703300,48800,1798700,126600,73297.0,2844200,383800,68900,2499800,0.0,340000,844300,193600,78500,711400,488700,2375900,1510400,249600,54300,1000,70500,55100,12910200,3183900,807200,87400,1402600,431200,1643300,38500,58800,78100,115000,252800,312000,1161900,553300,4175200,1408700,43300,157,282300,27099500
2019-04-15,404100,154500,1462300,1420500,987100,984600,46200,40812500,243200,291500,21700,318800,158300,83200,8239,1332900,44500,1141200,101200,51589.0,2608400,364200,61300,1690400,0.0,158600,881700,184100,63500,706900,416600,3965600,876500,197500,2800,300,92100,39700,11676900,3431000,839900,147900,810300,476400,2653800,46400,92400,49500,131400,329600,274400,1419300,788000,6371200,1323000,45600,342,198100,22394000
2019-04-16,427800,230700,1638400,2298600,1080800,1516600,43300,47340100,190900,450300,23200,312400,489600,152600,14078,2138700,223400,927800,132900,146263.0,3004800,869100,89900,4399500,907.0,177300,971000,317100,72500,779500,973300,7638900,1822000,344700,4200,500,107700,60300,30301900,5682200,832200,148600,1288500,321000,2194600,93500,67100,66800,195400,305400,482700,1551400,632300,9866400,1620300,133400,20,345700,19847800
2019-04-17,483600,141900,2391500,2505900,1145400,1862600,61000,48240800,216700,607000,20500,240900,348000,150600,17170,2021200,1211200,1627600,79300,83680.0,4765500,501700,135800,3025400,0.0,187800,1156400,647500,138200,944900,494900,9779000,1685100,629200,10000,2200,93300,98100,38788400,4068600,998500,53400,1022600,305700,2892500,66000,100900,108400,201100,269500,380100,1693600,603000,9054600,2622400,69000,5408,253700,25140300
2019-04-18,517900,228600,2028900,2052800,1423800,1634600,96200,39880900,152900,317500,22700,211700,278400,184100,5952,3021900,328400,5044100,74400,87970.0,4391500,500900,137400,5469600,806.0,203300,794000,271500,97100,1615000,494100,4262200,1637700,405300,18000,900,75200,89600,20464200,4326000,1198200,47600,767600,266200,3035500,67500,67200,134000,146800,489000,577500,1409800,1573900,4823600,1403000,41100,1233,223900,14936700
2019-04-22,366400,100500,1364700,2295900,813900,1245600,79500,36477300,139500,320100,28800,233000,129200,90200,10691,2307600,190800,1592400,80300,55957.0,2943300,285000,137300,2046200,0.0,202900,1227700,279900,100700,1071200,488000,3011200,1222900,191600,7000,16800,105000,120700,12327500,2715400,1284600,27900,719500,213000,2533600,76700,90400,81200,140900,980200,381800,1177100,933700,5048200,1123000,44600,76,147200,9349400
2019-04-23,742500,338300,2693600,3437900,1467300,1889400,72600,41777500,308400,599900,25000,289200,205400,162000,20739,5947500,101500,1500800,67600,116307.0,3418400,531000,210700,6282900,101.0,276000,1197800,390700,96500,1568800,1027300,3850800,2058900,298800,3700,93600,440500,274900,17739900,3408600,1046500,37500,774400,437100,3260400,67800,113000,156600,392600,467900,440700,2048600,893000,4608600,1136500,66600,262,192500,11051200
2019-04-24,580200,154200,1867600,5727100,1771000,1168800,50200,51784700,393500,672400,66800,343600,202100,97100,13296,3186600,199500,1007500,83600,88432.0,3384900,609800,143000,3045800,202.0,149000,656200,295800,151200,832500,573600,3041500,1569500,272200,60200,1900,169100,149400,17723700,3520500,1690400,46100,861600,437800,4462200,83800,132000,101700,260400,381800,358600,2601800,1174500,4524400,1038700,145400,235,203900,15549900
2019-04-25,349700,95700,1747200,2952900,1406400,1415500,33200,57329700,965100,1393000,43100,515000,157200,65800,12552,2047100,103000,934300,126000,143228.0,5498400,655000,107100,2459700,0.0,200500,1028800,228000,86500,1367900,782800,2993000,1599000,177000,49200,2000,119700,138800,27949900,4154600,2554000,51600,1427600,271100,6776600,115300,60200,95300,256700,281800,389800,4758300,461200,4435200,904800,82500,141,209600,13981700
2019-04-26,454200,112200,2114000,2244900,911900,1263700,34200,48827900,365500,767900,25300,314900,294100,102100,25474,2177900,240700,830100,87600,80810.0,3342900,509400,164300,2216300,0.0,229400,1047900,222300,59800,755600,895000,3496300,2454800,241300,40000,6600,125600,114300,72364500,4845500,1548200,27500,781900,302200,6766600,52000,79000,63700,316900,250700,461500,2865200,333600,2957200,1106600,104700,169,385800,18043000
2019-04-29,390900,91900,5592400,1877100,1270000,1188500,54000,44532700,265200,1069500,24400,375500,492300,105500,17904,1683000,84000,604800,215600,113281.0,4509700,517500,143900,3450900,1613.0,157200,1728300,261400,90500,930000,696200,3122600,2426500,160700,10600,1700,218800,117700,42142300,5210300,1103300,45300,791500,344900,4031500,135600,60100,64300,285100,209400,696000,1607700,470600,2590000,834100,124900,289,204800,9213800
2019-04-30,657200,136200,3068000,2624800,2007200,1072200,81600,73165900,256700,422100,69600,372700,561300,239500,27774,2154700,287500,1022900,169200,109599.0,3581800,695600,293900,3057200,403.0,173000,2294300,255400,93000,2291800,1140500,2824600,4759300,597500,13500,500,458600,171700,27130900,5420900,1685400,258500,911500,470600,3411100,130200,190600,190500,238000,307600,398900,1604300,423800,3934800,1582800,178700,92,379500,16850200
2019-05-01,518900,360600,2056200,1601800,3333900,1292200,149800,136066900,169200,386700,77100,481300,1002600,234000,48283,1649300,171600,848400,313600,206086.0,2707700,939600,340200,3151900,302.0,149600,1927200,500800,385900,812700,982100,4264300,3525600,794700,7600,3900,262200,231700,20467600,3557800,1422600,76600,921900,1204500,3461200,125000,259300,231900,457900,229000,772400,1136900,436900,5194000,1461600,163700,223,227300,9213600
2019-05-02,442200,126600,2482300,2223200,2178100,996700,86500,100514800,194600,405400,34200,276000,704900,525100,16609,2359400,129900,668200,112700,173299.0,3181100,1149800,471500,12472500,504.0,229100,1501600,339200,1929700,914600,704700,3609500,3072200,725700,5400,7000,130000,76600,22655400,3284300,1017700,89300,761200,764300,4435000,132300,96800,106900,121800,255600,1119000,1340100,529000,3927600,2319300,95300,751,389000,8839100
2019-05-03,419000,154700,1979500,2476300,1431500,959600,85800,55503100,338300,502100,61200,279000,280000,241700,11826,2233800,464300,750700,100900,351055.0,3131000,1166100,307700,40551000,706.0,205200,1559700,327200,485300,974300,573600,6385800,1982200,931900,19700,3700,162400,80500,25656600,3288400,669800,16700,786500,568600,3050500,116700,126900,139400,294400,200500,1421600,1257800,389000,2754400,3127600,78700,138,957600,8489100
